Characteristics, Urban ,,,Rural,,
,2003,2004,2006,2003,2004,2006
Education,,,,,,
No Schooling,9.7,5.3,33.1,53.6,59.8,59.9
Primary School,21.7,18.6,17.9,20.8,17.8,17.6
Secondary School,51.3,52.9,32.3,22.3,18.9,18.7
Post-Secondary,17.3,25.2,16.6,3.3,3.5,3.6
Total,100,100,100,100,100,100
Age Group,,,,,,
15 - 24,51.8,47.6,29.4,18,21.4,21.6
25 - 44,40.7,47.6,50.7,47.1,46.6,46.6
45 - 59,2.2,1.1,10.5,22.7,21.3,21.2
60 - 64,5.3,3.7,5.2,6.5,5.8,5.7
Total,100,100,100,100,100,100
Gender,,,,,,
Male,58.4,57.2,57.5,64.3,64.1,64.1
Female,41.6,42.8,42.5,35.7,35.9,35.9
Total,100,100,100,100,100,100
