statename,statecode,percent_iud,percent_inject,percent_implant,percent_total
Abia,AB,0.01,0.05,0.02,0.08
Adamawa,AD,0.00,0.06,0.04,0.10
Akwa Ibom,AK,0.01,0.04,0.03,0.08
Anambra,AN,0.03,0.02,0.03,0.07
Bauchi,BA,0.00,0.02,0.01,0.03
Bayelsa,BE,0.00,0.00,0.02,0.02
Benue,BR,0.01,0.03,0.06,0.10
Borno,BY,0.00,0.02,0.01,0.02
Cross River,CR,0.00,0.03,0.12,0.15
Delta,DE,0.01,0.03,0.03,0.07
Ebonyi,EB,0.00,0.02,0.03,0.04
Edo,ED,0.00,0.05,0.04,0.09
Ekiti,EK,0.04,0.04,0.06,0.14
Enugu,EN,0.00,0.02,0.06,0.09
"Fct, Abuja",FC,0.01,0.07,0.04,0.12
Gombe,GO,0.00,0.03,0.03,0.07
Imo,IM,0.01,0.01,0.02,0.04
Jigawa,JI,0.00,0.03,0.01,0.03
Kaduna,KB,0.01,0.04,0.07,0.12
Kano,KD,0.01,0.02,0.02,0.05
Katsina,KN,0.00,0.01,0.01,0.03
Kebbi,KO,0.00,0.02,0.01,0.02
Kogi,KT,0.01,0.03,0.02,0.06
Kwara,KW,0.02,0.06,0.04,0.12
Lagos,LA,0.02,0.03,0.05,0.10
Nasarawa,NA,0.01,0.03,0.07,0.11
Niger,NI,0.00,0.03,0.02,0.05
Ogun,OG,0.01,0.07,0.02,0.10
Ondo,ON,0.02,0.04,0.08,0.14
Osun,OS,0.05,0.07,0.07,0.19
Oyo,OY,0.04,0.10,0.06,0.20
Plateau,PL,0.01,0.10,0.07,0.19
Rivers,RI,0.00,0.04,0.05,0.09
Sokoto,SO,0.00,0.01,0.01,0.02
Taraba,TA,0.00,0.03,0.03,0.06
Yobe,YO,0.00,0.01,0.00,0.01
Zamfara,ZA,0.00,0.03,0.02,0.05
