Variables,Cx,Ci,Ca,Cf,Cu,PF,TFR (Survey),TFR (Bongaarts)
Aggregate,,,,,,,,
National,0.72,0.64,0.94,0.8,0.81,19.48,5.5,5.93
Education,,,,,,,,
No education,0.86,0.58,0.95,0.77,0.94,20.2,6.93,7.2
Primary,0.74,0.63,0.95,0.78,0.65,27.27,6.13,4.72
Secondary/Higher,0.59,0.72,0.91,0.86,0.5,24.79,4.21,3.57
Residence,,,,,,,,
Urban,0.65,0.7,0.92,0.82,0.51,26.49,4.66,3.69
Rural,0.78,0.61,0.95,0.8,0.79,22.06,6.18,5.88
Wealth quintile,,,,,,,,
Lowest,0.86,0.57,0.96,0.77,0.96,19.84,6.95,7.36
Second,0.78,0.58,0.95,0.8,0.87,22.13,6.72,6.38
Middle,0.67,0.64,0.94,0.8,0.71,25.14,5.68,4.74
Fourth,0.66,0.7,0.93,0.81,0.56,25.52,4.89,4.02
Highest,0.66,0.76,0.9,0.83,0.42,24.46,3.9,3.35
Workforce,,,,,,,,
In workforce,0.79,0.64,0.94,0.78,0.63,24.55,5.76,4.93
Not in workforce,0.61,0.64,0.94,0.86,0.77,23.43,5.62,5.04
Regions,,,,,,,,
North Central,0.65,0.63,0.94,0.82,0.68,24.63,5.28,4.5
North East,0.79,0.62,0.95,0.79,0.93,18.47,6.3,7.16
North West,0.83,0.58,0.95,0.79,0.87,20.75,6.68,6.76
South East,0.57,0.69,0.92,0.77,0.45,37.89,4.71,2.61
South South,0.66,0.76,0.91,0.81,0.49,23.6,4.27,3.8
South West,0.67,0.69,0.92,0.84,0.37,34.19,4.55,2.79
